@RELATION monthly

@ATTRIBUTE monthly_symbol string
@ATTRIBUTE stock_open real
@ATTRIBUTE high real
@ATTRIBUTE low real
@ATTRIBUTE stock_close real
@ATTRIBUTE adjusted_close real
@ATTRIBUTE volume real
@ATTRIBUTE dividend_amount real
@ATTRIBUTE cobdate_partition DATE "yyyy-MM-dd"

@DATA
JPM,69.48,80.53,67.64,80.17,71.207,458563987,0.0,"2016-11-30"
JPM,80.65,87.39,80.65,86.29,76.6428,343079104,0.0,"2016-12-30"
JPM,87.34,88.17,83.03,84.63,75.5836,343092750,0.48,"2017-01-31"
JPM,85.54,91.34,84.16,90.62,80.9333,271399837,0.0,"2017-02-28"
JPM,92.79,93.98,85.23,87.84,78.4504,371683551,0.0,"2017-03-31"
JPM,87.99,89.13,84.36,87.0,78.1452,320838104,0.5,"2017-04-28"
JPM,87.36,88.09,81.635,82.15,73.7888,280277698,0.0,"2017-05-31"
JPM,82.46,92.65,81.65,91.4,82.0974,330386146,0.0,"2017-06-30"
JPM,91.56,94.51,90.32,91.8,82.9012,267414146,0.5,"2017-07-31"
JPM,92.49,95.2193,90.16,90.89,82.0794,247812342,0.0,"2017-08-31"
JPM,91.25,95.88,88.08,95.51,86.2515,246369957,0.0,"2017-09-29"
JPM,95.77,102.4201,94.96,100.61,91.3812,252942789,0.56,"2017-10-31"
JPM,101.1,106.66,95.95,104.52,94.9325,240421558,0.0,"2017-11-30"
JPM,104.9,108.46,102.2,106.94,97.1306,276400891,0.0,"2017-12-29"
JPM,107.63,117.35,106.81,115.67,105.5993,293836674,0.56,"2018-01-31"
JPM,115.77,119.33,103.98,115.5,105.4441,348734335,0.0,"2018-02-28"
JPM,115.48,118.75,106.65,109.97,100.3956,316114990,0.0,"2018-03-29"
JPM,109.96,115.15,106.08,108.78,99.8063,340150520,0.56,"2018-04-30"
JPM,108.45,114.73,104.96,107.01,98.1823,273649343,0.0,"2018-05-31"
JPM,108.34,111.91,103.11,104.2,95.6041,308225670,0.0,"2018-06-29"
JPM,103.72,117.61,102.2,114.95,106.0367,298281434,0.56,"2018-07-31"
JPM,115.75,118.29,112.97,114.58,105.6954,234433424,0.0,"2018-08-31"
JPM,114.34,119.24,112.52,112.84,104.0903,232548930,0.0,"2018-09-28"
JPM,113.37,116.81,102.73,109.02,101.2645,433042829,0.8,"2018-10-31"
JPM,109.62,112.93,105.98,111.19,103.2801,283227819,0.0,"2018-11-30"
JPM,112.38,112.89,91.11,97.62,90.6755,425215738,0.0,"2018-12-31"
JPM,95.95,105.24,95.94,103.5,96.9292,325933984,0.8,"2019-01-31"
JPM,104.0,107.27,100.06,104.36,97.7346,224934830,0.0,"2019-02-28"
JPM,105.1,108.4,98.09,101.23,94.8033,306599704,0.0,"2019-03-29"
JPM,102.15,117.16,102.12,116.05,109.5061,252516936,0.8,"2019-04-30"
JPM,115.72,117.0,104.84,105.96,99.985,230713192,0.0,"2019-05-31"
JPM,105.8,112.43,105.3,111.8,105.4957,248214909,0.0,"2019-06-28"
JPM,113.23,117.24,112.15,116.0,110.2351,232058280,0.8,"2019-07-31"
JPM,115.33,116.8,104.34,109.86,104.4002,259388278,0.0,"2019-08-30"
JPM,108.98,120.4,107.32,117.69,111.8411,229931101,0.0,"2019-09-30"
JPM,118.4,127.42,110.52,124.92,119.6641,262746367,0.9,"2019-10-31"
JPM,126.2,132.43,126.02,131.76,126.2163,191121333,0.0,"2019-11-29"
JPM,132.31,140.08,128.59,139.4,133.5348,212561704,0.0,"2019-12-31"
JPM,139.79,141.1,129.71,132.36,127.6159,247371187,0.9,"2020-01-31"
JPM,132.66,139.29,112.66,116.11,111.9483,240662052,0.0,"2020-02-28"
JPM,116.63,122.95,76.91,90.03,86.8031,733124797,0.0,"2020-03-31"
JPM,85.1,104.39,82.77,95.76,93.3164,531069912,0.9,"2020-04-30"
JPM,93.5,102.95,82.4,97.31,94.8268,497896125,0.0,"2020-05-29"
JPM,97.75,115.77,92.0,94.06,91.6598,535283093,0.0,"2020-06-30"
JPM,94.89,101.29,90.78,96.64,95.0886,432245245,0.9,"2020-07-31"
JPM,97.02,106.43,95.03,100.19,98.5816,319711942,0.0,"2020-08-31"
JPM,99.55,105.21,91.38,96.27,94.7246,390727873,0.0,"2020-09-30"
JPM,97.12,104.45,95.09,98.04,97.3428,325384466,0.9,"2020-10-30"
JPM,99.39,123.5,97.86,117.88,117.0417,333356715,0.0,"2020-11-30"
JPM,120.34,127.33,118.105,127.07,126.1663,273731938,0.0,"2020-12-31"
JPM,127.5,142.75,123.77,128.67,128.67,318531351,0.9,"2021-01-29"
JPM,129.4,138.66,128.475,138.25,138.25,45609931,0.0,"2021-02-04"
