@RELATION weekly

@ATTRIBUTE weekly_symbol string
@ATTRIBUTE stock_open real
@ATTRIBUTE high real
@ATTRIBUTE low real
@ATTRIBUTE stock_close real
@ATTRIBUTE adjusted_close real
@ATTRIBUTE volume real
@ATTRIBUTE dividend_amount real
@ATTRIBUTE cobdate_partition DATE "yyyy-MM-dd"

@DATA
JPM,35.5,36.49,34.7,36.01,20.6561,59673900,0.0,"2002-03-15"
JPM,36.01,36.4,34.2,35.2,20.1914,38372900,0.0,"2002-03-22"
JPM,35.2,36.22,34.95,35.65,20.4496,31191100,0.0,"2002-03-28"
JPM,35.95,35.95,34.12,34.86,20.1906,28519400,0.34,"2002-04-05"
JPM,34.54,35.45,33.1,34.28,19.8547,39793000,0.0,"2002-04-12"
JPM,35.5,37.95,34.25,37.76,21.8702,61613000,0.0,"2002-04-19"
JPM,37.27,37.39,34.39,34.99,20.2659,41256700,0.0,"2002-04-26"
JPM,35.4,36.41,34.0,35.68,20.6655,39798500,0.0,"2002-05-03"
JPM,35.95,37.15,34.24,35.08,20.318,38881400,0.0,"2002-05-10"
JPM,35.35,38.75,35.1,38.1,22.0672,36190500,0.0,"2002-05-17"
JPM,37.8,38.71,36.84,37.8,21.8934,26870200,0.0,"2002-05-24"
JPM,37.75,37.9,35.05,35.95,20.8219,27375400,0.0,"2002-05-31"
JPM,36.0,36.25,32.5,33.69,19.5129,40763800,0.0,"2002-06-07"
JPM,33.65,34.58,31.25,33.0,19.1133,37480600,0.0,"2002-06-14"
JPM,33.6,35.69,32.79,32.99,19.1075,45168700,0.0,"2002-06-21"
JPM,32.25,34.35,30.15,33.92,19.6461,53818900,0.0,"2002-06-28"
JPM,33.59,33.68,30.0,32.59,19.0813,35853500,0.34,"2002-07-05"
JPM,32.59,32.95,29.25,30.21,17.6878,42664500,0.0,"2002-07-12"
JPM,29.6,33.73,25.85,26.1,15.2815,64541300,0.0,"2002-07-19"
JPM,25.96,26.65,18.22,22.25,13.0273,159652600,0.0,"2002-07-26"
JPM,23.75,25.5,23.25,23.85,13.9641,74182500,0.0,"2002-08-02"
JPM,22.88,26.8,22.1,26.35,15.4278,68706100,0.0,"2002-08-09"
JPM,25.8,25.81,23.37,24.86,14.5554,59367600,0.0,"2002-08-16"
JPM,24.98,27.35,24.84,25.71,15.0531,52716800,0.0,"2002-08-23"
JPM,25.75,27.4,25.65,26.4,15.4571,40905900,0.0,"2002-08-30"
JPM,25.65,25.75,23.9,23.91,13.9992,43234300,0.0,"2002-09-06"
JPM,23.2,24.01,21.75,22.04,12.9043,64431000,0.0,"2002-09-13"
JPM,21.6,22.4,18.8,20.18,11.8153,101764300,0.0,"2002-09-20"
JPM,19.56,19.8,18.26,18.34,10.738,79591000,0.0,"2002-09-27"
JPM,18.35,20.1,16.54,16.54,9.8645,93508300,0.34,"2002-10-04"
